Unnamed: 0,gender,test_prep,sport,transport,wkstudy_hours,math_score,reading_score,writing_score
0,female,none,regularly,school_bus,< 5,71,71,74
1,female,,sometimes,,5 - 10,69,90,88
2,female,none,sometimes,school_bus,< 5,87,93,91
3,male,none,never,,5 - 10,45,56,42
4,male,none,sometimes,school_bus,5 - 10,76,78,75
5,female,none,regularly,school_bus,5 - 10,73,84,79
6,female,completed,never,private,5 - 10,85,93,89
7,male,none,sometimes,private,> 10,41,43,39
8,male,completed,sometimes,private,> 10,65,64,68
9,female,none,regularly,private,< 5,37,59,50
10,male,none,sometimes,private,5 - 10,58,54,52
11,male,none,sometimes,school_bus,5 - 10,40,52,43
12,female,none,regularly,private,5 - 10,66,82,74
13,male,completed,sometimes,private,> 10,80,73,71
14,female,none,sometimes,private,< 5,48,53,58
15,female,none,sometimes,private,,69,75,78
16,male,,sometimes,school_bus,5 - 10,88,89,86
17,female,none,sometimes,school_bus,5 - 10,18,32,28
18,male,completed,sometimes,private,5 - 10,46,42,47
19,female,none,never,private,< 5,50,56,58
20,male,none,sometimes,school_bus,5 - 10,66,69,63
21,female,completed,sometimes,school_bus,5 - 10,65,75,70
22,male,none,never,,5 - 10,42,53,51
23,female,none,never,,5 - 10,66,71,71
24,male,completed,sometimes,school_bus,5 - 10,74,71,80
25,male,none,regularly,school_bus,5 - 10,75,76,76
26,male,none,sometimes,school_bus,< 5,66,53,53
27,female,none,sometimes,school_bus,> 10,69,70,76
28,male,none,sometimes,private,5 - 10,70,70,65
30,female,none,sometimes,private,< 5,66,72,72
31,female,none,sometimes,,5 - 10,63,65,61
32,female,none,sometimes,school_bus,5 - 10,56,73,66
33,male,none,sometimes,private,5 - 10,40,42,38
34,male,none,sometimes,school_bus,,97,87,82
35,male,completed,sometimes,school_bus,5 - 10,81,81,79
36,female,none,regularly,private,5 - 10,76,82,85
37,female,none,regularly,private,5 - 10,51,64,60
38,female,completed,regularly,school_bus,5 - 10,77,91,90
39,male,none,regularly,school_bus,5 - 10,58,56,58
40,male,none,never,school_bus,5 - 10,53,60,52
41,female,none,regularly,,5 - 10,59,74,69
43,male,,regularly,school_bus,5 - 10,60,65,67
44,female,none,sometimes,school_bus,< 5,48,55,52
45,male,none,sometimes,school_bus,< 5,63,53,55
47,female,none,regularly,private,5 - 10,67,72,77
49,male,completed,sometimes,,5 - 10,82,84,82
50,male,none,,school_bus,> 10,54,55,48
51,male,completed,regularly,private,< 5,76,68,68
52,male,none,regularly,school_bus,> 10,56,45,43
53,male,none,sometimes,school_bus,5 - 10,88,78,75
54,female,completed,regularly,private,> 10,75,86,90
55,female,none,sometimes,private,5 - 10,33,41,43
56,female,completed,sometimes,school_bus,> 10,84,86,87
57,male,none,sometimes,private,5 - 10,52,55,49
58,male,completed,regularly,private,> 10,61,60,60
59,female,none,regularly,school_bus,> 10,0,17,10
61,male,none,sometimes,school_bus,5 - 10,39,39,34
62,male,none,sometimes,private,5 - 10,62,61,55
64,female,none,sometimes,school_bus,5 - 10,59,58,59
65,male,none,never,private,< 5,63,62,58
66,male,none,sometimes,school_bus,5 - 10,45,37,37
67,female,none,regularly,school_bus,5 - 10,61,73,75
68,male,none,regularly,school_bus,,62,58,57
69,female,none,sometimes,school_bus,5 - 10,39,64,57
71,male,completed,sometimes,private,> 10,64,55,64
72,female,none,regularly,private,5 - 10,42,51,49
73,male,none,never,school_bus,5 - 10,59,56,54
74,male,,sometimes,private,< 5,47,48,40
75,male,none,sometimes,school_bus,5 - 10,44,41,38
76,male,none,sometimes,school_bus,5 - 10,28,25,21
77,male,completed,regularly,,5 - 10,82,79,83
78,female,completed,sometimes,school_bus,> 10,62,75,73
79,female,none,never,school_bus,5 - 10,60,68,68
80,female,none,regularly,private,> 10,49,50,52
81,male,none,sometimes,private,,49,45,45
82,male,completed,sometimes,school_bus,5 - 10,50,47,54
83,male,none,regularly,private,5 - 10,74,64,64
84,male,none,never,private,5 - 10,40,38,33
85,female,none,sometimes,private,5 - 10,73,80,82
86,female,none,sometimes,school_bus,< 5,73,81,86
87,female,none,sometimes,private,5 - 10,71,71,74
88,female,none,regularly,school_bus,< 5,57,69,67
89,female,none,sometimes,private,> 10,75,87,83
91,male,none,regularly,,5 - 10,27,34,36
92,male,none,sometimes,,< 5,68,77,69
93,male,completed,regularly,private,> 10,45,46,52
94,female,none,regularly,private,5 - 10,81,87,94
96,male,completed,regularly,school_bus,5 - 10,63,65,61
97,female,completed,never,school_bus,< 5,59,69,66
98,female,none,regularly,,> 10,61,69,64
99,female,none,regularly,school_bus,< 5,64,66,62
100,male,none,sometimes,school_bus,5 - 10,79,67,67
101,male,completed,sometimes,private,5 - 10,68,74,74
102,female,none,regularly,school_bus,5 - 10,87,92,91
103,male,completed,regularly,school_bus,5 - 10,61,44,48
104,male,completed,regularly,school_bus,> 10,100,88,94
105,female,none,sometimes,school_bus,5 - 10,58,67,72
106,female,none,sometimes,private,5 - 10,87,100,100
107,male,completed,sometimes,school_bus,5 - 10,66,63,64
108,female,none,sometimes,school_bus,5 - 10,52,76,70
109,female,none,regularly,school_bus,5 - 10,72,64,73
110,female,completed,sometimes,school_bus,> 10,79,90,99
111,male,none,regularly,,5 - 10,63,55,50
112,male,none,sometimes,school_bus,5 - 10,54,53,47
113,female,none,never,school_bus,< 5,47,56,51
114,female,completed,regularly,school_bus,< 5,98,99,100
115,male,none,sometimes,private,5 - 10,84,77,74
116,female,none,never,school_bus,5 - 10,72,83,79
117,female,none,never,private,5 - 10,75,80,77
118,female,none,regularly,private,> 10,54,64,63
119,female,none,sometimes,school_bus,5 - 10,55,69,65
120,female,completed,never,school_bus,5 - 10,76,90,86
121,male,completed,sometimes,school_bus,< 5,88,87,90
122,female,completed,regularly,,5 - 10,90,94,95
123,male,none,sometimes,private,,63,57,56
124,male,none,regularly,school_bus,< 5,82,79,73
125,female,none,never,school_bus,> 10,86,94,85
126,male,none,,private,5 - 10,72,68,67
127,male,,regularly,school_bus,< 5,64,76,74
128,male,none,never,private,< 5,77,81,72
129,female,none,regularly,school_bus,5 - 10,52,49,52
130,male,none,sometimes,school_bus,< 5,87,84,82
131,male,completed,regularly,private,< 5,52,36,40
132,male,completed,regularly,school_bus,5 - 10,89,75,71
133,female,completed,never,,< 5,70,78,80
134,male,completed,sometimes,private,> 10,76,80,76
135,male,none,sometimes,,< 5,56,54,47
136,male,completed,sometimes,private,5 - 10,51,54,41
137,male,none,sometimes,school_bus,< 5,67,54,54
138,female,,sometimes,private,5 - 10,59,66,67
139,male,completed,sometimes,private,> 10,73,61,70
140,female,none,sometimes,school_bus,5 - 10,76,72,71
141,female,none,regularly,private,5 - 10,60,62,65
142,female,completed,regularly,private,< 5,41,54,54
143,male,none,sometimes,school_bus,5 - 10,57,43,47
144,male,none,sometimes,private,> 10,90,74,79
145,female,none,regularly,school_bus,< 5,21,38,33
148,female,completed,sometimes,private,< 5,65,73,79
149,male,completed,regularly,private,5 - 10,100,100,95
150,male,completed,sometimes,private,5 - 10,62,67,69
152,female,completed,sometimes,school_bus,< 5,57,68,64
153,male,none,sometimes,,5 - 10,54,49,47
154,male,none,never,,< 5,58,65,58
155,female,completed,regularly,school_bus,< 5,69,88,88
156,female,completed,regularly,school_bus,5 - 10,67,75,79
157,male,none,sometimes,school_bus,< 5,58,59,58
158,female,,regularly,private,5 - 10,62,87,89
159,male,none,regularly,school_bus,> 10,70,63,66
160,male,completed,sometimes,private,5 - 10,82,78,74
161,female,completed,sometimes,school_bus,5 - 10,75,88,85
162,male,none,never,school_bus,5 - 10,48,53,52
163,male,none,sometimes,school_bus,5 - 10,52,53,49
164,female,none,never,private,< 5,76,89,86
165,female,completed,sometimes,school_bus,5 - 10,96,100,100
166,male,completed,sometimes,private,5 - 10,53,51,51
167,female,completed,regularly,private,> 10,62,79,83
168,female,completed,regularly,private,5 - 10,70,84,79
170,male,completed,regularly,school_bus,> 10,76,75,77
171,male,none,sometimes,school_bus,< 5,91,86,76
172,female,none,never,school_bus,5 - 10,76,84,78
173,female,none,sometimes,school_bus,5 - 10,63,67,70
174,female,completed,sometimes,school_bus,< 5,41,50,52
175,female,completed,sometimes,school_bus,5 - 10,81,92,89
176,female,completed,sometimes,school_bus,< 5,44,53,56
177,female,completed,regularly,school_bus,< 5,70,76,77
178,female,completed,regularly,school_bus,5 - 10,54,72,65
179,female,completed,regularly,school_bus,5 - 10,99,100,100
180,male,completed,sometimes,private,< 5,60,68,75
181,female,none,sometimes,private,5 - 10,46,64,66
182,female,none,sometimes,private,,50,50,47
183,female,none,sometimes,private,< 5,63,67,68
185,male,completed,never,private,< 5,61,65,62
186,male,none,never,school_bus,< 5,75,73,62
187,male,completed,sometimes,private,5 - 10,62,66,68
188,male,none,regularly,school_bus,< 5,47,51,45
189,female,none,sometimes,school_bus,< 5,74,86,85
190,female,none,sometimes,school_bus,5 - 10,66,65,69
191,male,completed,sometimes,school_bus,< 5,73,81,77
192,female,none,sometimes,private,,62,64,66
193,male,completed,regularly,,,79,62,63
194,female,completed,regularly,school_bus,< 5,69,85,87
195,male,none,regularly,school_bus,< 5,60,54,52
196,male,completed,never,school_bus,5 - 10,57,67,63
197,male,none,,private,> 10,56,56,52
198,female,none,regularly,,> 10,47,54,57
199,female,,regularly,private,5 - 10,80,80,77
200,female,completed,regularly,private,< 5,66,83,86
201,female,none,sometimes,school_bus,< 5,63,79,75
202,male,none,sometimes,school_bus,5 - 10,69,77,69
203,female,none,regularly,school_bus,5 - 10,58,70,69
204,male,none,regularly,,< 5,58,40,42
205,male,completed,,school_bus,< 5,71,69,76
206,male,none,regularly,school_bus,5 - 10,84,62,63
207,male,completed,regularly,school_bus,5 - 10,83,81,77
208,female,none,regularly,private,< 5,73,80,76
209,female,,sometimes,,,58,61,66
210,male,completed,sometimes,school_bus,< 5,77,77,77
211,male,,sometimes,school_bus,5 - 10,35,28,27
212,female,none,sometimes,school_bus,5 - 10,42,62,60
213,male,completed,regularly,school_bus,5 - 10,61,51,57
214,male,,sometimes,private,5 - 10,87,91,81
215,male,completed,regularly,private,5 - 10,86,84,76
216,female,completed,sometimes,school_bus,< 5,80,84,86
217,female,,regularly,,< 5,33,41,39
218,male,none,sometimes,school_bus,< 5,64,75,68
219,male,completed,never,,5 - 10,59,55,54
220,female,completed,regularly,school_bus,5 - 10,57,69,75
221,male,none,sometimes,school_bus,> 10,89,86,74
222,female,,sometimes,,5 - 10,55,65,62
223,male,none,regularly,school_bus,5 - 10,88,81,76
224,female,completed,regularly,school_bus,> 10,55,67,76
225,female,none,sometimes,private,< 5,43,55,52
226,female,none,sometimes,school_bus,5 - 10,72,72,71
227,male,none,regularly,school_bus,5 - 10,58,50,55
228,male,none,sometimes,school_bus,5 - 10,68,72,64
229,female,completed,regularly,school_bus,> 10,93,97,98
230,male,none,regularly,,5 - 10,78,64,67
231,male,none,regularly,private,5 - 10,47,43,43
232,female,none,sometimes,school_bus,5 - 10,67,86,83
233,male,none,sometimes,school_bus,> 10,94,88,79
234,male,completed,sometimes,school_bus,> 10,85,83,85
235,male,none,regularly,school_bus,> 10,84,77,80
236,male,none,regularly,school_bus,< 5,62,65,67
237,female,,sometimes,school_bus,< 5,62,59,72
238,male,none,regularly,private,> 10,57,53,53
239,male,none,sometimes,private,5 - 10,84,80,80
240,male,completed,,private,> 10,75,69,67
241,female,none,regularly,private,5 - 10,82,84,85
243,male,,regularly,school_bus,< 5,58,50,43
244,male,none,regularly,school_bus,< 5,74,73,69
245,male,none,sometimes,private,< 5,82,74,69
246,male,,regularly,school_bus,5 - 10,91,77,75
247,female,completed,sometimes,private,5 - 10,58,70,68
248,female,none,sometimes,private,< 5,63,63,60
249,male,none,sometimes,school_bus,> 10,70,60,54
250,male,completed,sometimes,school_bus,5 - 10,47,49,49
251,female,none,regularly,school_bus,< 5,70,82,83
252,female,completed,sometimes,private,5 - 10,60,70,70
253,male,none,sometimes,school_bus,,80,80,72
254,male,none,sometimes,private,5 - 10,54,52,52
255,female,none,sometimes,school_bus,5 - 10,62,73,70
256,female,none,sometimes,private,< 5,62,71,66
257,male,completed,regularly,school_bus,5 - 10,80,78,78
260,female,completed,sometimes,private,> 10,65,80,78
261,male,completed,sometimes,school_bus,5 - 10,79,79,78
262,female,none,regularly,private,5 - 10,45,50,52
263,female,none,sometimes,private,5 - 10,99,93,90
264,male,none,sometimes,private,5 - 10,76,73,68
265,male,none,sometimes,school_bus,< 5,57,41,40
266,female,none,sometimes,school_bus,< 5,61,73,79
267,female,none,regularly,school_bus,5 - 10,71,73,78
268,female,completed,regularly,school_bus,> 10,93,94,99
269,female,none,sometimes,school_bus,,71,76,70
270,male,none,sometimes,school_bus,5 - 10,69,63,61
271,male,,regularly,,< 5,57,48,42
272,female,none,regularly,private,5 - 10,48,53,59
273,female,none,sometimes,private,5 - 10,65,70,71
274,male,completed,,school_bus,< 5,85,83,74
275,male,none,sometimes,school_bus,5 - 10,83,78,73
276,female,completed,sometimes,private,< 5,82,90,91
277,female,completed,sometimes,school_bus,< 5,57,62,73
278,female,none,sometimes,school_bus,5 - 10,65,86,80
279,male,none,sometimes,school_bus,5 - 10,73,56,57
281,male,none,sometimes,private,5 - 10,45,48,46
282,female,none,regularly,school_bus,5 - 10,75,80,86
283,female,completed,never,school_bus,5 - 10,67,76,76
284,female,none,regularly,private,< 5,36,45,46
285,male,completed,never,school_bus,5 - 10,78,80,79
286,male,completed,regularly,private,5 - 10,99,83,90
287,female,none,sometimes,school_bus,< 5,64,87,80
288,male,none,sometimes,,< 5,85,73,74
289,male,completed,sometimes,school_bus,> 10,79,77,78
290,male,none,sometimes,school_bus,5 - 10,76,70,68
291,male,none,sometimes,private,< 5,83,71,68
292,male,completed,never,private,5 - 10,61,59,55
293,female,none,sometimes,school_bus,> 10,66,74,76
294,male,completed,regularly,school_bus,5 - 10,80,78,82
295,male,none,never,school_bus,> 10,66,61,59
296,male,completed,regularly,school_bus,5 - 10,47,41,44
297,male,completed,regularly,school_bus,5 - 10,73,75,69
298,male,completed,regularly,private,< 5,39,45,50
299,male,none,regularly,,< 5,89,86,75
300,male,completed,never,private,< 5,76,75,77
301,male,,regularly,school_bus,< 5,55,53,52
302,female,completed,never,school_bus,> 10,66,83,80
303,male,none,regularly,school_bus,5 - 10,82,77,65
304,female,completed,regularly,school_bus,5 - 10,76,76,85
305,male,none,sometimes,private,5 - 10,69,67,69
306,male,completed,regularly,private,5 - 10,100,88,83
307,male,none,regularly,,5 - 10,52,52,45
308,female,none,regularly,private,> 10,56,73,70
309,female,,regularly,,< 5,48,56,52
310,female,none,sometimes,school_bus,5 - 10,73,76,80
311,male,none,never,school_bus,< 5,62,58,54
312,male,completed,sometimes,private,,67,61,68
313,female,completed,sometimes,private,> 10,70,68,70
315,male,none,regularly,private,5 - 10,73,66,66
316,female,completed,never,private,5 - 10,74,80,88
317,male,none,sometimes,school_bus,5 - 10,83,72,78
318,male,none,sometimes,private,< 5,61,69,67
319,female,none,regularly,school_bus,< 5,55,64,63
320,female,,sometimes,,< 5,64,77,82
321,female,none,never,private,> 10,74,85,78
322,female,none,regularly,private,< 5,70,80,80
323,female,none,sometimes,private,5 - 10,40,52,51
324,female,none,sometimes,,< 5,39,45,42
325,female,none,sometimes,school_bus,5 - 10,82,90,94
326,male,none,sometimes,school_bus,5 - 10,61,61,62
327,male,none,regularly,school_bus,> 10,29,23,19
328,male,completed,sometimes,school_bus,5 - 10,82,75,77
